"name","value","nodes","time"
"ta001",1278,0,0
"ta002",1359,6443,0
"ta003",1081,9092,1
"ta004",1293,8684,1
"ta005",1235,2643,0
"ta006",1195,2397,0
"ta007",1234,1392,0
"ta008",1206,18,0
"ta009",1230,1740,0
"ta010",1108,308,0
"ta011",1582,279868,224
"ta012",1659,1102037,899
"ta013",1496,1082041,766
"ta014",1377,59330,510
"ta015",1419,179341,133
"ta016",1397,32961,39
"ta017",1484,9008542,2029
"ta018",1538,1374952,1168
"ta019",1593,1576,3
"ta020",1591,1267178,1055
"ta021",NA,NA,NA
"ta022",NA,NA,NA
"ta023",NA,NA,NA
"ta024",NA,NA,NA
"ta025",NA,NA,NA
"ta026",NA,NA,NA
"ta027",NA,NA,NA
"ta028",NA,NA,NA
"ta029",NA,NA,NA
"ta030",NA,NA,NA
"ta031",2724,4,1
"ta032",2834,11315,5
"ta033",2621,9356,6
"ta034",2751,43507,11
"ta035",2863,22071,8
"ta036",2829,7921,4
"ta037",2725,16631,5
"ta038",2683,0,1
"ta039",2552,44072,18
"ta040",2782,1,1
"ta041",2991,4299295,8979
"ta042",2867,56621519,144884
"ta043",2839,59515405,99773
"ta044",3063,761658,1208
"ta045",2976,10846799,24220
"ta046",3006,2453293,5804
"ta047",3093,23202058,48905
"ta048",3037,3721133,5726
"ta049",2897,619246,1301
"ta050",3065,111514192,243182
"ta051",NA,NA,NA
"ta052",NA,NA,NA
"ta053",NA,NA,NA
"ta054",NA,NA,NA
"ta055",NA,NA,NA
"ta056",NA,NA,NA
"ta057",NA,NA,NA
"ta058",NA,NA,NA
"ta059",NA,NA,NA
"ta060",NA,NA,NA
"ta061",5493,0,10
"ta062",5268,70082,139
"ta063",5175,12790,13
"ta064",5014,29898,50
"ta065",5250,15,11
"ta066",5135,20,10
"ta067",5246,100444,266
"ta068",5094,23445,73
"ta069",5448,0,13
"ta070",5310,25331,53
"ta071",5770,606706,2266
"ta072",5349,422039,1888
"ta073",5676,187156,1846
"ta074",5781,2846107,11045
"ta075",5467,2949863,11283
"ta076",5303,295,109
"ta077",5595,501507,3532
"ta078",5617,2029669,9643
"ta079",5871,3230743,16725
"ta080",5845,331807,1371
"ta081",NA,NA,NA
"ta082",NA,NA,NA
"ta083",NA,NA,NA
"ta084",NA,NA,NA
"ta085",NA,NA,NA
"ta086",NA,NA,NA
"ta087",NA,NA,NA
"ta088",NA,NA,NA
"ta089",NA,NA,NA
"ta090",NA,NA,NA
"ta091",10862,778448,18558
"ta092",10480,2846647,59250
"ta093",10922,3315177,50720
"ta094",10889,332285,7555
"ta095",10524,171161,14337
"ta096",10329,696102,25231
"ta097",10854,1187177,27310
"ta098",10730,1356655,27875
"ta099",10438,893185,14842
"ta100",10675,2334787,33592
"ta106",11176,12457281,138217
