"name","initial","time","nodes","unused","optimal","value"
"ta001",1297,0,0,0,TRUE,1278
"ta002",1366,0,18,0,TRUE,1359
"ta003",1114,0,16,0,TRUE,1081
"ta004",1314,0,11,0,TRUE,1293
"ta005",1278,0,1852,0,TRUE,1235
"ta006",1228,0,6,0,TRUE,1195
"ta007",1273,0,1,0,TRUE,1234
"ta008",1222,0,5,0,TRUE,1206
"ta009",1273,0,15,0,TRUE,1230
"ta010",1151,0,3,0,TRUE,1108
"ta011",1622,4,63446,0,TRUE,1582
"ta012",1732,4,40607,0,TRUE,1659
"ta013",1563,6,95730,0,TRUE,1496
"ta014",1429,1,13499,0,TRUE,1377
"ta015",1504,1,20617,0,TRUE,1419
"ta016",1445,0,1081,0,TRUE,1397
"ta017",1539,389,4304872,0,TRUE,1484
"ta018",1601,5,56674,0,TRUE,1538
"ta019",1648,0,49,0,TRUE,1593
"ta020",1684,10,109992,0,TRUE,1591
"ta021",2394,3600,4635444,0,FALSE,2297
"ta022",2181,3600,7415090,0,FALSE,2099
"ta023",2386,3600,3245817,0,FALSE,2326
"ta024",2262,3600,5593657,0,FALSE,2223
"ta025",2353,3600,6688666,0,FALSE,2291
"ta026",2283,3600,5722233,0,FALSE,2226
"ta027",2386,3600,4676120,0,FALSE,2273
"ta028",2283,2046,5893336,0,TRUE,2200
"ta029",2360,2127,5989187,0,TRUE,2237
"ta030",2260,433,1231573,0,TRUE,2178
"ta031",2729,0,1,0,TRUE,2724
"ta032",2848,0,2,0,TRUE,2834
"ta033",2628,0,14,0,TRUE,2621
"ta034",2773,0,3,0,TRUE,2751
"ta035",2864,0,7,0,TRUE,2863
"ta036",2836,0,4,0,TRUE,2829
"ta037",2747,0,6,0,TRUE,2725
"ta038",2684,0,0,0,TRUE,2683
"ta039",2590,0,8,0,TRUE,2552
"ta040",2782,0,1,0,TRUE,2782
"ta041",3126,5,16161,0,TRUE,2991
"ta042",3062,722,2072526,0,TRUE,2867
"ta043",3025,190,774675,0,TRUE,2839
"ta044",3187,0,6,0,TRUE,3063
"ta045",3146,1,5451,0,TRUE,2976
"ta046",3169,0,32,0,TRUE,3006
"ta047",3289,0,17,0,TRUE,3093
"ta048",3184,0,37,0,TRUE,3037
"ta049",3032,0,654,0,TRUE,2897
"ta050",3215,416,1835145,0,TRUE,3065
"ta051",4051,3600,1006926,0,FALSE,3850
"ta052",3975,3600,1535706,0,FALSE,3704
"ta053",3855,3600,1456482,0,FALSE,3640
"ta054",3927,3600,1267703,0,FALSE,3723
"ta055",3860,3600,1603307,0,FALSE,3611
"ta056",3979,3600,1517476,0,FALSE,3681
"ta057",3934,3600,1199521,0,FALSE,3704
"ta058",3926,3600,1324030,0,FALSE,3691
"ta059",3941,3600,914851,0,FALSE,3743
"ta060",3961,3600,982647,0,FALSE,3756
"ta061",5504,0,0,0,TRUE,5493
"ta062",5291,0,31,0,TRUE,5268
"ta063",5195,0,5,0,TRUE,5175
"ta064",5029,0,5,0,TRUE,5014
"ta065",5255,0,10,0,TRUE,5250
"ta066",5139,0,7,0,TRUE,5135
"ta067",5247,0,7,0,TRUE,5246
"ta068",5115,0,15,0,TRUE,5094
"ta069",5454,0,0,0,TRUE,5448
"ta070",5346,0,17,0,TRUE,5322
"ta071",5899,0,7,0,TRUE,5770
"ta072",5493,0,9,0,TRUE,5349
"ta073",5780,0,264,0,TRUE,5676
"ta074",5965,0,4,0,TRUE,5781
"ta075",5643,0,63,0,TRUE,5467
"ta076",5414,0,8,0,TRUE,5303
"ta077",5688,0,858,0,TRUE,5595
"ta078",5719,0,56,0,TRUE,5617
"ta079",5986,0,8,0,TRUE,5871
"ta080",5903,0,8,0,TRUE,5845
"ta081",6574,3600,1088629,0,FALSE,6202
"ta082",6534,3600,1952649,0,FALSE,6183
"ta083",6582,3600,659376,0,FALSE,6271
"ta084",6606,3600,576890,0,FALSE,6269
"ta085",6601,3600,1699412,0,FALSE,6314
"ta086",6734,3600,1072835,0,FALSE,6364
"ta087",6602,3600,609105,0,FALSE,6268
"ta088",6771,3600,1010003,0,FALSE,6401
"ta089",6660,3600,1412010,0,FALSE,6275
"ta090",6662,3600,702227,0,FALSE,6434
"ta091",10942,0,6,0,TRUE,10862
"ta092",10700,1,217,0,TRUE,10480
"ta093",11045,0,5,0,TRUE,10922
"ta094",10931,0,37,0,TRUE,10889
"ta095",10627,0,21,0,TRUE,10524
"ta096",10534,0,7,0,TRUE,10329
"ta097",10959,0,7,0,TRUE,10854
"ta098",10845,0,62,0,TRUE,10730
"ta099",10502,0,6,0,TRUE,10438
"ta100",10821,0,6,0,TRUE,10675
